Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
HP,Model_378,Intel i7,16.0,2048,12.7,1022.17040558517,Windows 11,0.78,2019
Acer,Model_2164,Intel i9,16.0,1024,15.5,1293.207873081481,Windows 11,1.65,2021
Microsoft,Model_1511,Apple M1,32.0,2048,15.5,1434.2710187042985,Windows 11,1.0,2022
Apple,Model_5465,AMD Ryzen 5,,2048,12.5,681.7802927734701,macOS,2.39,2023
Microsoft,Model_628,AMD Ryzen 7,8.0,2048,14.4,$1446.77,Linux,1.99,2018
Lenovo,Model_534,Apple M1,,512,16.4,1556.727271228189,Linux,1.95,2019
Razer,Model_6763,AMD Ryzen 5,64.0,512,14.8,1726.9854244417988,Windows 10,2.42,2021
Dell,Model_5468,Intel i7,8.0,512,14.3,1008.6427090633388,macOS,1.88,2019
Razer,Model_1751,Intel i5,16.0,2048,14.1,969.4196790715121,macOS,1.74,2018
Microsoft,Model_9113,Intel i5,32.0,256,15.7,813.8275981286329,Windows 10,1.31,2018
HP,Model_6369,AMD Ryzen 5,8.0,2048,14.7,1542.907816875671,Windows 11,1.55,2019
Dell,Model_4325,Intel i7,32.0,2048,16.6,416.1137833180636,Linux,1.79,2024
HP,Model_8613,,8.0,2048,14.9,1023.2975920919348,Windows 11,1.99,2020
Acer,Model_1494,AMD Ryzen 7,16.0,0TB,15.3,132.23316870112353,Windows 10,2.48,2018
Dell,Model_8037,Intel i7,64.0,1024,16.7,730.9459013281473,macOS,1.85,2020
Microsoft,Model_7084,AMD Ryzen 5,32.0,1024,14.7,1519.574765638031,Windows 11,1.74,2018
Dell,Model_6220,Intel i5,16.0,256,15.9,1265.5622441427267,Windows 11,1.88,2022
Lenovo,Model_8179,Intel i5,64.0,512,15.9,798.5166401237585,Windows 10,2.1,2022
HP,Model_1153,Apple M1,32.0,512,16.4,717.683495424144,Linux,2.33,2023
Apple,Model_32,Intel i7,16.0,2048,15.6,1279.25424327572,Windows 11,2.01,2023
Lenovo,Model_9621,AMD Ryzen 7,16.0,256,16.0,1091.0943521392592,Linux,1.03,2023
Razer,Model_648,AMD Ryzen 7,,512,15.1,1916.9289006405934,Linux,2.6,2018
Acer,Model_1331,,16.0,256,15.2,1219.0405378174519,macOS,0.76,2024
Apple,Model_8443,AMD Ryzen 5,64.0,256,15.5,1104.1783826833837,Windows 11,1.78,2018
Apple,Model_6805,AMD Ryzen 7,8.0,2048,16.1 inches,$1385.43,Windows 10,1.61,2024
HP,Model_8051,AMD Ryzen 5,8.0,1024,16.4,1495.124090174788,windows 10,2.37,2019
Dell,Model_7510,AMD Ryzen 5,,2048,15.4,1097.7342538748433,macOS,1.99,2018
Apple,Model_6332,,,512,13.7,596.7425764231006,Linux,1.62,2022
Acer,Model_4702,Apple M1,8.0,1024,14.7,744.8204061869945,Windows 10,1.82,2018
Razer,Model_8157,AMD Ryzen 5,16.0,1024,15.4,1231.7310843771502,Windows 11,3.06,2024
Lenovo,Model_6537,Intel i5,16.0,1024,16.6,1399.9686566245687,Linux,0.75,2018
Lenovo,Model_2341,AMD Ryzen 7,8.0,512,17.2,1485.6789621505532,Linux,1.93,2023
