,Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
0,HP,378,Intel i7,16,2048,12.7,1022,Windows 11,0.78,2019
1,Acer,2164,Intel i9,16,1024,15.5,1293,Windows 11,1.65,2021
4,Microsoft,628,AMD Ryzen 7,8,2048,14.4,1447,Linux,1.99,2018
6,Razer,6763,AMD Ryzen 5,64,512,14.8,1727,Windows 10,2.42,2021
9,Microsoft,9113,Intel i5,32,256,15.7,814,Windows 10,1.31,2018
10,HP,6369,AMD Ryzen 5,8,2048,14.7,1543,Windows 11,1.55,2019
11,Dell,4325,Intel i7,32,2048,16.6,416,Linux,1.79,2024
15,Microsoft,7084,AMD Ryzen 5,32,1024,14.7,1520,Windows 11,1.74,2018
16,Dell,6220,Intel i5,16,256,15.9,1266,Windows 11,1.88,2022
17,Lenovo,8179,Intel i5,64,512,15.9,799,Windows 10,2.1,2022
20,Lenovo,9621,AMD Ryzen 7,16,256,16.0,1091,Linux,1.03,2023
25,HP,8051,AMD Ryzen 5,8,1024,16.4,1495,Windows 10,2.37,2019
29,Razer,8157,AMD Ryzen 5,16,1024,15.4,1232,Windows 11,3.06,2024
30,Lenovo,6537,Intel i5,16,1024,16.6,1400,Linux,0.75,2018
31,Lenovo,2341,AMD Ryzen 7,8,512,17.2,1486,Linux,1.93,2023
32,HP,975,AMD Ryzen 5,8,256,16.5,2047,Windows 10,2.26,2020
36,Microsoft,7953,AMD Ryzen 7,8,512,16.8,747,Windows 11,2.25,2023
39,Microsoft,8215,Intel i5,8,1024,16.0,1820,Windows 10,1.42,2022
46,Razer,1928,AMD Ryzen 7,32,512,13.2,1658,Windows 11,1.48,2019
47,Razer,1496,Intel i5,16,2048,18.1,673,Linux,2.02,2020
49,HP,1974,Intel i7,8,512,16.3,1063,Linux,2.16,2019
51,HP,4849,Intel i7,8,512,13.8,1470,Windows 11,2.0,2022
52,Lenovo,7712,Intel i7,64,1024,18.0,1303,Linux,1.97,2020
59,Dell,5149,AMD Ryzen 7,32,256,15.4,945,Linux,2.6,2020
64,HP,5647,Intel i9,64,256,15.1,1125,Windows 10,1.4,2022
66,HP,8348,Intel i9,16,256,15.3,516,Windows 10,2.58,2020
68,Dell,2204,AMD Ryzen 7,8,512,15.2,1166,Linux,1.78,2024
69,Asus,596,AMD Ryzen 7,64,256,16.0,1324,Linux,1.69,2020
71,HP,3408,Intel i9,32,1024,15.3,1622,Linux,2.04,2022
72,HP,4795,AMD Ryzen 5,16,2048,17.4,1480,Windows 10,3.08,2020
74,HP,2992,AMD Ryzen 7,32,1024,14.3,1120,Windows 10,1.83,2022
75,Lenovo,6451,AMD Ryzen 7,8,2048,16.9,770,Windows 11,1.53,2019
78,Microsoft,5885,AMD Ryzen 5,8,2048,15.1,1208,Linux,2.32,2019
79,Razer,206,AMD Ryzen 5,32,2048,17.3,702,Linux,1.98,2020
80,Lenovo,3937,Intel i9,32,1024,15.9,775,Linux,1.51,2020
81,Lenovo,8751,Intel i9,16,2048,14.9,1584,Linux,2.22,2024
86,Dell,3590,Intel i5,32,512,16.6,1145,Windows 10,1.68,2022
87,Asus,4489,Intel i7,64,1024,17.3,540,Linux,1.71,2022
88,Dell,4778,AMD Ryzen 5,64,1024,17.1,250,Windows 11,1.86,2022
89,HP,913,AMD Ryzen 5,64,256,18.8,711,Windows 10,1.82,2022
95,Acer,8801,Intel i9,16,2048,15.3,1288,Windows 10,2.35,2018
101,Dell,300,AMD Ryzen 5,64,2048,14.3,665,Windows 10,1.27,2022
102,Microsoft,5423,Intel i5,16,256,15.2,1765,Windows 10,2.05,2020
105,Microsoft,5930,Intel i9,64,2048,15.8,1761,Windows 10,1.94,2022
112,HP,7755,Intel i5,16,2048,13.9,1424,Windows 10,1.41,2022
117,Apple,760,Apple M1,32,2048,16.6,1391,macOS,2.41,2024
118,Razer,2079,AMD Ryzen 7,64,256,15.7,846,Windows 10,2.33,2019
119,Acer,2739,Intel i7,16,2048,14.7,1545,Linux,2.31,2021
121,Dell,5938,Intel i7,16,2048,17.1,884,Linux,1.39,2024
122,Razer,9140,Intel i5,32,256,14.7,889,Windows 10,1.47,2022
124,Lenovo,1706,Intel i9,16,256,15.5,759,Windows 10,1.08,2023
125,Microsoft,3468,Intel i9,8,1024,15.0,1697,Windows 11,2.07,2022
127,Asus,1055,Intel i7,16,1024,16.6,987,Linux,2.23,2022
138,Microsoft,8673,Intel i5,32,1024,15.7,695,Linux,1.32,2020
140,Asus,205,Intel i7,32,512,16.9,1882,Windows 11,1.22,2019
141,Dell,2123,AMD Ryzen 7,32,512,14.5,1416,Windows 11,2.33,2024
142,Razer,750,Intel i7,64,1024,16.3,1849,Linux,2.52,2019
144,HP,2331,Intel i5,32,512,12.9,1108,Linux,1.55,2018
145,Dell,3439,AMD Ryzen 7,16,512,14.6,1431,Windows 10,2.41,2024
146,Asus,253,AMD Ryzen 5,32,2048,16.1,262,Windows 11,1.6,2021
148,HP,3929,Intel i7,64,1024,14.9,1419,Windows 11,1.74,2021
150,Acer,9455,AMD Ryzen 5,64,256,15.0,1310,Windows 10,1.36,2018
152,Dell,1047,AMD Ryzen 5,16,1024,17.1,1683,Windows 10,1.95,2020
154,Acer,3878,Intel i7,16,1024,15.9,1473,Windows 10,1.05,2020
157,Lenovo,3216,AMD Ryzen 5,8,1024,15.6,1855,Linux,1.96,2019
161,HP,9654,AMD Ryzen 7,16,2048,13.8,1212,Linux,1.42,2021
165,Microsoft,4766,AMD Ryzen 5,16,256,14.6,1200,Linux,2.48,2018
169,HP,6081,AMD Ryzen 7,8,256,15.6,1553,Windows 11,1.7,2023
173,Acer,9053,AMD Ryzen 7,16,512,15.7,1222,Linux,1.56,2020
174,HP,7212,Intel i7,16,2048,13.7,1511,Linux,1.89,2020
176,Acer,2083,AMD Ryzen 5,32,512,15.2,1197,Windows 10,1.99,2019
177,Lenovo,3310,AMD Ryzen 5,32,512,16.4,1253,Windows 11,1.31,2018
178,Dell,6781,AMD Ryzen 7,64,256,12.9,1120,Windows 10,1.46,2023
181,Razer,385,Intel i7,16,256,15.2,1574,Windows 10,1.59,2018
182,Dell,7652,AMD Ryzen 7,8,2048,15.5,917,Linux,1.63,2018
185,Razer,9897,Intel i7,32,2048,17.6,1336,Windows 11,1.61,2019
189,Acer,1729,Intel i7,16,1024,14.8,552,Windows 11,1.74,2020
191,Asus,7970,Intel i9,32,512,14.2,915,Windows 10,1.56,2019
193,HP,2322,Intel i7,64,512,20.5,1218,Windows 10,2.01,2024
195,Dell,2576,Intel i5,16,512,15.9,995,Windows 10,2.56,2024
196,Acer,7520,Intel i9,16,2048,16.4,1232,Windows 11,1.14,2018
197,HP,8912,AMD Ryzen 7,8,2048,19.3,902,Windows 10,1.13,2020
199,Lenovo,7657,Intel i5,32,1024,15.8,1053,Windows 10,1.46,2024
202,Microsoft,4199,Intel i9,32,2048,13.6,1528,Windows 10,1.81,2023
205,Lenovo,1239,Intel i9,16,256,15.5,1349,Linux,2.45,2020
207,Acer,6937,AMD Ryzen 5,8,2048,14.0,1104,Windows 10,1.19,2024
213,Acer,4400,AMD Ryzen 5,8,1024,16.3,652,Linux,1.53,2023
223,Lenovo,955,Intel i9,16,256,14.5,578,Linux,2.14,2023
225,Dell,7242,Intel i9,32,1024,14.6,1071,Windows 11,1.32,2024
226,Lenovo,5850,Intel i5,32,512,16.4,1103,Windows 11,2.13,2023
228,Lenovo,1396,Intel i9,64,1024,15.8,1178,Windows 11,1.09,2021
229,HP,4700,Intel i7,8,256,17.0,801,Linux,2.78,2023
234,Razer,6368,Intel i9,32,2048,17.4,951,Windows 11,2.12,2020
236,Acer,7632,Intel i5,8,512,14.4,938,Windows 10,1.75,2024
239,Acer,1720,AMD Ryzen 7,8,512,16.3,2080,Windows 10,2.12,2024
240,Razer,380,Intel i5,64,1024,13.3,815,Linux,1.72,2020
241,Lenovo,6993,Intel i9,16,256,14.6,1115,Linux,2.29,2018
242,Dell,9000,Intel i9,8,2048,15.9,1759,Windows 10,2.73,2020
243,Asus,7463,Intel i7,16,2048,15.8,1016,Linux,0.87,2021
244,Asus,185,Intel i5,64,512,17.0,1182,Windows 10,1.81,2024
249,Asus,5492,AMD Ryzen 7,32,1024,18.8,1291,Linux,1.5,2022
251,Lenovo,1444,AMD Ryzen 5,32,1024,16.5,1942,Windows 11,0.99,2019
259,HP,7008,AMD Ryzen 5,8,1024,15.2,738,Windows 10,1.73,2023
262,Dell,2018,Intel i7,8,2048,16.3,1473,Windows 10,1.45,2022
263,Dell,7443,Intel i7,32,2048,17.1,998,Windows 11,2.57,2024
269,Asus,6662,Intel i7,8,512,13.4,1133,Linux,1.9,2019
272,Asus,7536,Intel i5,64,2048,15.3,1496,Linux,2.41,2023
276,Dell,4896,AMD Ryzen 7,64,512,14.9,418,Windows 10,1.66,2024
277,HP,4923,Intel i7,16,1024,16.3,1136,Windows 10,2.28,2020
278,Asus,8170,Intel i7,16,256,15.7,1428,Windows 11,1.73,2022
280,HP,3861,Intel i5,16,2048,17.8,456,Windows 10,1.74,2023
281,Dell,7128,Intel i7,16,256,15.7,1326,Windows 11,1.44,2018
282,Microsoft,5002,Intel i5,16,512,13.5,1368,Linux,1.08,2022
284,Lenovo,6859,Intel i7,16,256,14.4,648,Windows 11,1.64,2022
285,HP,5412,Intel i7,8,1024,14.3,1155,Windows 11,1.25,2023
287,Apple,4451,Apple M1,8,512,15.8,1493,macOS,1.39,2024
297,Asus,8869,Intel i9,64,1024,14.1,888,Windows 10,1.81,2018
299,Microsoft,1888,Intel i9,16,512,15.9,1064,Windows 11,2.41,2022
303,Acer,5479,Intel i5,16,256,15.5,1289,Linux,0.54,2024
304,Lenovo,5600,Intel i7,64,256,18.3,1087,Windows 10,1.4,2020
307,Acer,4118,AMD Ryzen 5,16,2048,18.2,1000,Windows 11,1.63,2024
308,Lenovo,7558,Intel i9,64,256,15.1,1951,Windows 11,1.34,2021
309,Apple,5748,Apple M1,16,512,12.3,1435,macOS,1.66,2021
310,Acer,3344,Intel i5,16,256,13.7,913,Windows 11,1.91,2019
312,HP,1369,AMD Ryzen 7,16,256,15.2,358,Windows 10,1.39,2022
314,Razer,9887,Intel i9,64,256,15.3,1641,Windows 10,1.86,2020
316,Lenovo,2835,Intel i5,8,1024,19.2,1225,Windows 10,1.3,2018
317,Asus,4600,AMD Ryzen 7,64,512,16.1,1174,Windows 10,1.69,2024
319,Lenovo,2170,Intel i7,16,1024,16.8,1803,Windows 11,2.96,2021
